colony,Type_profile,colony_profile_prop
4D,C31.C17d.C31.1.C21.C31a.C17e.C21ac.C31.10,0
4D,C31.C17d.C31.1.C21.C31a.C31f.C21ac.C31l,0
4D,C31.C31.1.C17d.C31a.C21.C31f.C31b.C31l,0
4D,C31.C17d.C21.C31.1.C31a.C17e.C31f,0
4D,C31.C17d.C21.C31.9.C31.5.C17i.C31.10.C21ac.C17,0.98996908
4D,C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f,0
4D,C31.C17d.C21.C21ac.C17i.C17.C17e.C31j,0
4D,C31.C17d.C21.C31.9.C21ac.C31i.C31h,0
4D,C31.C17d.C21.C31a.C21ac.C17i.C17,0
4D,C31.C17d.C21.C31a.C21ac.C31.9,0
4D,C31.C17d.C21.C21ac.C31k.C31.9,0
4D,C31.C17d.C21.C31a.C31.9,0
4D,C31.C17d.C21.C21ac.C31k.C31a,0
4D,C31.C17d.C21.C21ac.C17i.C31a,0
4D,C31.C21.C17d.C21ac.C17i.C17,0
4D,C31.C17d.C21.C21ac.C31j,0
4D,C31.C17d,0
4D,D1.D4.D6.D17d.D1r.D17e.D17c,0
4D,D1.D4.D6.D1ab.D17d.D17j,0
4D,D1.D4.D6.D1ab.D17d,0
4D,D1.D1ab.D4.D6.D1ca,0
4D,D1.D4.D1ab.D6.D4d,0
4D,D1.D4.D1ab.D6.D10,0
4D,D1.D4.D6.D1ab.D3h,0.004480455
4D,D1.D4.D6.D1ab,0
4D,D1.D4.D6.D1d,0
4D,D1.D6.D4.D1r,0.005550464
4D,D1.D6.D4,0
6F,C31.C17d.C31.1.C21.C31a.C17e.C21ac.C31.10,0
6F,C31.C17d.C31.1.C21.C31a.C31f.C21ac.C31l,0
6F,C31.C31.1.C17d.C31a.C21.C31f.C31b.C31l,0
6F,C31.C17d.C21.C31.1.C31a.C17e.C31f,0
6F,C31.C17d.C21.C31.9.C31.5.C17i.C31.10.C21ac.C17,0
6F,C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f,0
6F,C31.C17d.C21.C21ac.C17i.C17.C17e.C31j,0
6F,C31.C17d.C21.C31.9.C21ac.C31i.C31h,0
6F,C31.C17d.C21.C31a.C21ac.C17i.C17,0
6F,C31.C17d.C21.C31a.C21ac.C31.9,0
6F,C31.C17d.C21.C21ac.C31k.C31.9,0
6F,C31.C17d.C21.C31a.C31.9,0
6F,C31.C17d.C21.C21ac.C31k.C31a,0
6F,C31.C17d.C21.C21ac.C17i.C31a,0
6F,C31.C21.C17d.C21ac.C17i.C17,0
6F,C31.C17d.C21.C21ac.C31j,0
6F,C31.C17d,0
6F,D1.D4.D6.D17d.D1r.D17e.D17c,0
6F,D1.D4.D6.D1ab.D17d.D17j,0
6F,D1.D4.D6.D1ab.D17d,0
6F,D1.D1ab.D4.D6.D1ca,0
6F,D1.D4.D1ab.D6.D4d,0.5
6F,D1.D4.D1ab.D6.D10,0
6F,D1.D4.D6.D1ab.D3h,0.5
6F,D1.D4.D6.D1ab,0
6F,D1.D4.D6.D1d,0
6F,D1.D6.D4.D1r,0
6F,D1.D6.D4,0
1A,C31.C17d.C31.1.C21.C31a.C17e.C21ac.C31.10,0
1A,C31.C17d.C31.1.C21.C31a.C31f.C21ac.C31l,0
1A,C31.C31.1.C17d.C31a.C21.C31f.C31b.C31l,0
1A,C31.C17d.C21.C31.1.C31a.C17e.C31f,0
1A,C31.C17d.C21.C31.9.C31.5.C17i.C31.10.C21ac.C17,0
1A,C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f,0
1A,C31.C17d.C21.C21ac.C17i.C17.C17e.C31j,0
1A,C31.C17d.C21.C31.9.C21ac.C31i.C31h,0
1A,C31.C17d.C21.C31a.C21ac.C17i.C17,0.477434694
1A,C31.C17d.C21.C31a.C21ac.C31.9,0
1A,C31.C17d.C21.C21ac.C31k.C31.9,0
1A,C31.C17d.C21.C31a.C31.9,0
1A,C31.C17d.C21.C21ac.C31k.C31a,0
1A,C31.C17d.C21.C21ac.C17i.C31a,0
1A,C31.C21.C17d.C21ac.C17i.C17,0
1A,C31.C17d.C21.C21ac.C31j,0
1A,C31.C17d,0
1A,D1.D4.D6.D17d.D1r.D17e.D17c,0.103165493
1A,D1.D4.D6.D1ab.D17d.D17j,0.280849945
1A,D1.D4.D6.D1ab.D17d,0
1A,D1.D1ab.D4.D6.D1ca,0
1A,D1.D4.D1ab.D6.D4d,0.138549869
1A,D1.D4.D1ab.D6.D10,0
1A,D1.D4.D6.D1ab.D3h,0
1A,D1.D4.D6.D1ab,0
1A,D1.D4.D6.D1d,0
1A,D1.D6.D4.D1r,0
1A,D1.D6.D4,0
3C,C31.C17d.C31.1.C21.C31a.C17e.C21ac.C31.10,0
3C,C31.C17d.C31.1.C21.C31a.C31f.C21ac.C31l,0
3C,C31.C31.1.C17d.C31a.C21.C31f.C31b.C31l,0
3C,C31.C17d.C21.C31.1.C31a.C17e.C31f,0
3C,C31.C17d.C21.C31.9.C31.5.C17i.C31.10.C21ac.C17,0
3C,C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f,0
3C,C31.C17d.C21.C21ac.C17i.C17.C17e.C31j,0
3C,C31.C17d.C21.C31.9.C21ac.C31i.C31h,0
3C,C31.C17d.C21.C31a.C21ac.C17i.C17,0
3C,C31.C17d.C21.C31a.C21ac.C31.9,0
3C,C31.C17d.C21.C21ac.C31k.C31.9,0
3C,C31.C17d.C21.C31a.C31.9,0
3C,C31.C17d.C21.C21ac.C31k.C31a,0
3C,C31.C17d.C21.C21ac.C17i.C31a,0
3C,C31.C21.C17d.C21ac.C17i.C17,0
3C,C31.C17d.C21.C21ac.C31j,0
3C,C31.C17d,0
3C,D1.D4.D6.D17d.D1r.D17e.D17c,0
3C,D1.D4.D6.D1ab.D17d.D17j,0
3C,D1.D4.D6.D1ab.D17d,0
3C,D1.D1ab.D4.D6.D1ca,0
3C,D1.D4.D1ab.D6.D4d,0.25
3C,D1.D4.D1ab.D6.D10,0
3C,D1.D4.D6.D1ab.D3h,0.75
3C,D1.D4.D6.D1ab,0
3C,D1.D4.D6.D1d,0
3C,D1.D6.D4.D1r,0
3C,D1.D6.D4,0
2B,C31.C17d.C31.1.C21.C31a.C17e.C21ac.C31.10,0
2B,C31.C17d.C31.1.C21.C31a.C31f.C21ac.C31l,0
2B,C31.C31.1.C17d.C31a.C21.C31f.C31b.C31l,0
2B,C31.C17d.C21.C31.1.C31a.C17e.C31f,0
2B,C31.C17d.C21.C31.9.C31.5.C17i.C31.10.C21ac.C17,0
2B,C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f,0
2B,C31.C17d.C21.C21ac.C17i.C17.C17e.C31j,0
2B,C31.C17d.C21.C31.9.C21ac.C31i.C31h,0
2B,C31.C17d.C21.C31a.C21ac.C17i.C17,0
2B,C31.C17d.C21.C31a.C21ac.C31.9,0
2B,C31.C17d.C21.C21ac.C31k.C31.9,0
2B,C31.C17d.C21.C31a.C31.9,0
2B,C31.C17d.C21.C21ac.C31k.C31a,0
2B,C31.C17d.C21.C21ac.C17i.C31a,0
2B,C31.C21.C17d.C21ac.C17i.C17,0
2B,C31.C17d.C21.C21ac.C31j,0
2B,C31.C17d,0
2B,D1.D4.D6.D17d.D1r.D17e.D17c,0
2B,D1.D4.D6.D1ab.D17d.D17j,0
2B,D1.D4.D6.D1ab.D17d,0
2B,D1.D1ab.D4.D6.D1ca,0
2B,D1.D4.D1ab.D6.D4d,0.5
2B,D1.D4.D1ab.D6.D10,0
2B,D1.D4.D6.D1ab.D3h,0.5
2B,D1.D4.D6.D1ab,0
2B,D1.D4.D6.D1d,0
2B,D1.D6.D4.D1r,0
2B,D1.D6.D4,0
5E,C31.C17d.C31.1.C21.C31a.C17e.C21ac.C31.10,0
5E,C31.C17d.C31.1.C21.C31a.C31f.C21ac.C31l,0
5E,C31.C31.1.C17d.C31a.C21.C31f.C31b.C31l,0
5E,C31.C17d.C21.C31.1.C31a.C17e.C31f,0
5E,C31.C17d.C21.C31.9.C31.5.C17i.C31.10.C21ac.C17,0
5E,C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f,0
5E,C31.C17d.C21.C21ac.C17i.C17.C17e.C31j,0
5E,C31.C17d.C21.C31.9.C21ac.C31i.C31h,0
5E,C31.C17d.C21.C31a.C21ac.C17i.C17,0
5E,C31.C17d.C21.C31a.C21ac.C31.9,0
5E,C31.C17d.C21.C21ac.C31k.C31.9,0
5E,C31.C17d.C21.C31a.C31.9,0
5E,C31.C17d.C21.C21ac.C31k.C31a,0
5E,C31.C17d.C21.C21ac.C17i.C31a,0
5E,C31.C21.C17d.C21ac.C17i.C17,0
5E,C31.C17d.C21.C21ac.C31j,0
5E,C31.C17d,0
5E,D1.D4.D6.D17d.D1r.D17e.D17c,0
5E,D1.D4.D6.D1ab.D17d.D17j,0
5E,D1.D4.D6.D1ab.D17d,0
5E,D1.D1ab.D4.D6.D1ca,0
5E,D1.D4.D1ab.D6.D4d,0
5E,D1.D4.D1ab.D6.D10,0
5E,D1.D4.D6.D1ab.D3h,1
5E,D1.D4.D6.D1ab,0
5E,D1.D4.D6.D1d,0
5E,D1.D6.D4.D1r,0
5E,D1.D6.D4,0