Cross,Mother,Father,Count 1,Count 2,Total
A1,1,A,62,0,62
A2,2,A,123,158,281
A3,3,A,38,24,62
A4,4,A,275,278,553
A5,5,A,10,23,33
A6,6,A,82,113,195
B1,1,B,92,179,271
B4,4,B,4,409,413
C1,1,C,147,53,200
C2,2,C,24,22,46
C3,3,C,76,41,117
C4,4,C,167,18,185
C6,6,C,13,18,31
D1,1,D,156,11,167
D2,2,D,144,97,241
D3,3,D,16,98,114
D4,4,D,17,3,20
D5,5,D,22,28,50
D6,6,D,126,126,252
E1,1,E,210,56,266
E2,2,E,164,140,304
E4,4,E,335,19,354
E6,6,E,152,115,267
F1,1,F,0,39,39
F2,2,F,172,220,392
F4,4,F,461,558,1019
F5,5,F,71,54,125